[4816374282/onwfl, 7823233544/qdxss, 8286332410/jxkjg, 2558467025/zpwcr, 4586599932/ilmfs, 1510023314/fifpp, 3225603419/kapwq] original
[8286332410/jxkjg, 4816374282/onwfl, 4586599932/ilmfs, 7823233544/qdxss, 1510023314/fifpp, 2558467025/zpwcr, 3225603419/kapwq] d=10
[8286332410/jxkjg, 1510023314/fifpp, 3225603419/kapwq, 2558467025/zpwcr, 4586599932/ilmfs, 7823233544/qdxss, 4816374282/onwfl] d=9
[2558467025/zpwcr, 4816374282/onwfl, 1510023314/fifpp, 8286332410/jxkjg, 3225603419/kapwq, 7823233544/qdxss, 4586599932/ilmfs] d=8
[8286332410/jxkjg, 1510023314/fifpp, 3225603419/kapwq, 7823233544/qdxss, 4816374282/onwfl, 2558467025/zpwcr, 4586599932/ilmfs] d=7
[3225603419/kapwq, 1510023314/fifpp, 8286332410/jxkjg, 7823233544/qdxss, 2558467025/zpwcr, 4816374282/onwfl, 4586599932/ilmfs] d=6
[1510023314/fifpp, 7823233544/qdxss, 8286332410/jxkjg, 4816374282/onwfl, 2558467025/zpwcr, 4586599932/ilmfs, 3225603419/kapwq] d=5
[1510023314/fifpp, 7823233544/qdxss, 3225603419/kapwq, 8286332410/jxkjg, 4816374282/onwfl, 4586599932/ilmfs, 2558467025/zpwcr] d=4
[1510023314/fifpp, 4816374282/onwfl, 7823233544/qdxss, 3225603419/kapwq, 2558467025/zpwcr, 8286332410/jxkjg, 4586599932/ilmfs] d=3
[3225603419/kapwq, 8286332410/jxkjg, 1510023314/fifpp, 2558467025/zpwcr, 4586599932/ilmfs, 4816374282/onwfl, 7823233544/qdxss] d=2
[1510023314/fifpp, 2558467025/zpwcr, 3225603419/kapwq, 4586599932/ilmfs, 4816374282/onwfl, 7823233544/qdxss, 8286332410/jxkjg] d=1
