[6326125444/ryiqx, 1169376262/izyzy, 7940471586/lyeqv, 1633705513/mnmid, 5237636823/zfdoq, 5997733224/rwibn, 2680975350/kvapj] original
[2680975350/kvapj, 1169376262/izyzy, 1633705513/mnmid, 5237636823/zfdoq, 6326125444/ryiqx, 5997733224/rwibn, 7940471586/lyeqv] d=10
[1633705513/mnmid, 5237636823/zfdoq, 5997733224/rwibn, 6326125444/ryiqx, 2680975350/kvapj, 1169376262/izyzy, 7940471586/lyeqv] d=9
[5997733224/rwibn, 1169376262/izyzy, 2680975350/kvapj, 6326125444/ryiqx, 1633705513/mnmid, 7940471586/lyeqv, 5237636823/zfdoq] d=8
[7940471586/lyeqv, 5997733224/rwibn, 2680975350/kvapj, 6326125444/ryiqx, 1633705513/mnmid, 1169376262/izyzy, 5237636823/zfdoq] d=7
[1633705513/mnmid, 6326125444/ryiqx, 5997733224/rwibn, 5237636823/zfdoq, 7940471586/lyeqv, 2680975350/kvapj, 1169376262/izyzy] d=6
[6326125444/ryiqx, 1169376262/izyzy, 7940471586/lyeqv, 5237636823/zfdoq, 1633705513/mnmid, 5997733224/rwibn, 2680975350/kvapj] d=5
[7940471586/lyeqv, 2680975350/kvapj, 1633705513/mnmid, 6326125444/ryiqx, 5237636823/zfdoq, 5997733224/rwibn, 1169376262/izyzy] d=4
[6326125444/ryiqx, 1633705513/mnmid, 5237636823/zfdoq, 7940471586/lyeqv, 1169376262/izyzy, 2680975350/kvapj, 5997733224/rwibn] d=3
[1169376262/izyzy, 5237636823/zfdoq, 6326125444/ryiqx, 1633705513/mnmid, 2680975350/kvapj, 7940471586/lyeqv, 5997733224/rwibn] d=2
[1169376262/izyzy, 1633705513/mnmid, 2680975350/kvapj, 5237636823/zfdoq, 5997733224/rwibn, 6326125444/ryiqx, 7940471586/lyeqv] d=1
