[1402969451/ntanc, 3608847539/aanrs, 4458067259/coqat, 9124958208/ykzzv, 3355961875/umyzy, 7438493214/vrqri, 1340172142/tgxgs] original
[1402969451/ntanc, 1340172142/tgxgs, 7438493214/vrqri, 3355961875/umyzy, 9124958208/ykzzv, 3608847539/aanrs, 4458067259/coqat] d=10
[9124958208/ykzzv, 7438493214/vrqri, 3608847539/aanrs, 1340172142/tgxgs, 1402969451/ntanc, 4458067259/coqat, 3355961875/umyzy] d=9
[1340172142/tgxgs, 9124958208/ykzzv, 7438493214/vrqri, 4458067259/coqat, 1402969451/ntanc, 3608847539/aanrs, 3355961875/umyzy] d=8
[3355961875/umyzy, 1340172142/tgxgs, 7438493214/vrqri, 4458067259/coqat, 3608847539/aanrs, 9124958208/ykzzv, 1402969451/ntanc] d=7
[3608847539/aanrs, 9124958208/ykzzv, 3355961875/umyzy, 4458067259/coqat, 1402969451/ntanc, 1340172142/tgxgs, 7438493214/vrqri] d=6
[4458067259/coqat, 1340172142/tgxgs, 7438493214/vrqri, 3608847539/aanrs, 9124958208/ykzzv, 3355961875/umyzy, 1402969451/ntanc] d=5
[1340172142/tgxgs, 1402969451/ntanc, 9124958208/ykzzv, 3355961875/umyzy, 4458067259/coqat, 7438493214/vrqri, 3608847539/aanrs] d=4
[1402969451/ntanc, 3608847539/aanrs, 9124958208/ykzzv, 7438493214/vrqri, 1340172142/tgxgs, 3355961875/umyzy, 4458067259/coqat] d=3
[9124958208/ykzzv, 1340172142/tgxgs, 3355961875/umyzy, 1402969451/ntanc, 7438493214/vrqri, 4458067259/coqat, 3608847539/aanrs] d=2
[1340172142/tgxgs, 1402969451/ntanc, 3355961875/umyzy, 3608847539/aanrs, 4458067259/coqat, 7438493214/vrqri, 9124958208/ykzzv] d=1
